Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.38402698,41.5873966,41.77104056,41.88183022,42.30321155,42.70003942,42.85697277,42.9410371,43.05117582,43.19028684,43.63047154,43.93997926,44.05828599,44.44226333,44.33913215,44.67067529,44.8310882,44.93081536,45.04860987,45.19508682,45.08799978,45.28551008,45.43641081,45.56311159,45.73931706,45.9052012,46.16283925,46.3362551,46.50064661,46.53362262,46.5683835
Austria,AUT,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.03416772,41.12929777,41.65041455,41.9246189,42.98806088,43.29447381,43.19264756,43.33689771,43.51971603,43.50672616,43.51296944,43.75437846,44.29208814,44.36856461,45.11398709,45.25671456,45.4368964,45.48994445,45.73035293,46.04779004,46.13932513,46.33532455,46.50719106,46.57905756,46.70843141,46.67446641,46.70546433,46.61889228,46.4255404,46.40601549,46.40260885
Azerbaijan,AZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.57619654,44.59072269,44.82964224,45.26916892,45.79391948,46.20456171,46.32709608,46.36866604,46.3346484,46.3421236,46.65523318,46.85994996,47.0397569,47.2116437,47.38849149,47.57972847,47.78576789,48.00671183,48.24028165,48.47866003,48.71536424,48.97621507,48.96072241,48.89309168,48.94813707,49.01988532,48.7836754,48.72880901,48.76007945,48.75397231,48.765956
Burundi,BDI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.10960038,52.2172566,52.36118447,52.52125669,52.66911231,52.78329523,52.68406538,52.55900089,52.41681581,52.30787487,52.21496049,52.2069797,52.20404594,52.20548667,52.20795129,52.20650058,52.18776575,52.16576652,52.14204109,52.11941849,52.10194199,52.10709666,52.11652998,52.12730263,52.13762501,52.06447051,51.99885237,51.94122097,51.89484513,51.85834027,51.81941244
Belgium,BEL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08921217,39.85769223,40.4625772,41.10493454,41.21323475,41.40769855,41.51937793,41.8855998,42.22321711,42.86684223,42.98506136,42.34000035,42.77286841,42.97767406,43.63947503,43.9405293,44.19626136,44.465889,44.73868953,44.92558915,45.1402923,45.24128381,45.27037833,45.64681775,45.98180809,46.04907907,45.92623522,45.84257172,46.20623952,46.20090775,46.20768917
Benin,BEN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.74858115,41.65198295,41.56699939,42.04997346,42.54455695,43.05349947,43.5938584,44.1494846,44.71605777,45.29081565,45.87141427,46.44689194,47.02978794,47.39639021,47.75371835,48.10291274,48.47117836,48.83435852,49.18516354,49.51958432,49.83310663,49.08667022,49.07472905,49.07843134,49.08897287,49.09906086,49.10750605,49.13550454,49.1765059,49.19318149,49.22276016
Burkina Faso,BFA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.51349149,48.46493973,48.22036201,47.96855896,47.7000874,47.42675044,47.14058664,46.83752373,46.52239229,46.19001767,45.8315423,45.44807118,45.04442663,44.6294782,44.19306239,43.74607276,43.27372247,43.34188175,43.43386824,43.55550492,43.70964713,43.89574518,44.12332594,44.39633154,44.71533351,44.70154596,44.69169903,44.69086755,44.70188771,44.61854529,44.53594415
Bangladesh,BGD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52559417,20.63422308,20.78024355,20.95892997,21.16372928,21.39310353,21.60570968,21.84417975,22.09575064,22.34907646,22.59462632,22.78743064,22.98087983,23.17359229,23.36956622,23.57522844,23.74162432,24.25610918,24.78278368,25.31101355,25.83424804,26.32513796,26.80856442,27.28927382,27.77141901,28.2597858,28.75217215,30.17466647,30.34300438,30.48785221,30.63011036
Bulgaria,BGR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.07668059,48.2122446,48.34790199,48.20472966,48.01543695,47.77128683,47.50587122,47.18490114,46.8107114,46.38375246,45.90652701,46.89716519,46.93619774,46.28855128,46.41743409,45.98296958,46.38862787,46.28622647,45.83930042,45.78948992,46.19883144,46.50476074,46.64104815,46.65314974,46.52288147,46.52507857,46.32403216,46.40273326,46.16166418,46.16842499,46.18289048
Bahrain,BHR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66508456,17.58640864,17.91832331,18.2848758,18.68712943,19.11463972,19.63599864,20.15021633,20.62138321,21.00464931,21.26744978,21.41883888,21.43255335,21.36199449,21.23773457,21.09472356,20.90936273,20.75501188,20.70085111,20.80056146,21.06740118,21.02616871,21.28220556,21.56923616,21.7464288,21.73262458,21.38229047,20.91292321,20.47889928,20.05479122,19.77524288
"Bahamas, The",BHS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9314217,45.98662595,46.0649933,46.18265923,46.34303383,46.53417353,46.73017648,46.88521071,47.20670023,47.62502345,47.85489039,47.99226623,48.07873623,47.93755704,47.88688717,47.94881208,48.01110757,48.01611632,47.83768122,47.57269279,47.59173719,47.57352456,47.68015353,47.63335398,47.59531606,47.59846482,47.4913111,47.50608411,47.54106445,47.51178813,47.40306732
Bosnia and Herzegovina,BIH,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.20994211,38.32624451,38.39719916,38.42544546,38.45177033,38.43377614,38.42093713,38.41506367,38.36499649,38.24932474,38.16512056,38.0962486,38.01390453,37.93653829,37.85258406,36.88038252,36.80327324,36.36657904,37.04811379,37.67933592,38.35050382,38.72116285,38.58596402,39.16381941,39.73056426,39.67851553,39.084276,39.63761137,39.20008547,39.22480834,39.25354532
Belarus,BLR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.32810838,48.34007513,48.29854709,48.27382394,48.27485581,48.32752692,48.39676877,48.48156675,48.57928661,48.65142922,48.78277615,48.9380274,49.0631518,49.16544907,49.2543193,49.32763822,49.427151,49.50897478,49.57274699,49.61338955,49.63489956,49.66623925,49.6768301,49.6722438,49.66405171,49.65339777,49.6784888,49.47203433,49.03078635,48.97911049,48.92760109
Belize,BLZ,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.16532232,29.70287676,30.33279872,30.55387409,30.29997629,30.33906084,30.48387318,31.08665929,31.67092451,32.24596486,32.81644509,33.4144857,34.00603488,34.59191681,35.18236224,35.77648832,35.93035511,36.11954611,36.33385627,36.56044146,36.78448617,37.00876491,37.2176606,37.42234744,37.73753028,38.10613546,38.78095912,38.49535181,38.67043195,38.84681314,38.98329987
Bermuda,BMU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.91499895,41.03259404,41.07644358,41.19694132,41.32879519,41.45683763,41.57895551,41.71995175,41.85801209,41.9818954,42.12293878,42.3335298,42.53339282,42.72534141,42.91053659,43.09215254,43.27788832,42.84563778,43.17907747,43.2686853,43.08382967,42.93437283,42.05541588,42.46351152,42.76362457,40.70704569,42.15788239,42.91161334,44.18907173,44.15511531,44.11862785
Brazil,BRA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13525263,34.29620821,35.14473704,35.98816975,36.82461078,37.65252667,37.67854201,38.01281036,38.61585238,39.29155469,39.97024925,40.65495109,41.30209095,41.55823191,41.95214271,42.44120442,42.488475,42.51187929,42.45529509,42.69784178,42.35082622,41.99582106,42.26816675,42.2811724,42.3855817,42.71651788,42.86427924,43.38258691,43.5765988,43.5837641,43.58893597
Barbados,BRB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7843715,47.22084312,47.20596681,47.42711041,47.64810272,47.77823386,48.85023709,48.19468977,48.25274124,48.31110712,48.36995479,48.40096509,48.43718191,48.47220162,48.57797708,48.66273379,48.75330376,48.83908862,48.92452682,49.00471948,49.24969024,49.14379652,48.96392181,49.33182906,49.7801284,49.38796674,49.41919404,49.4261022,49.37095175,49.32644756,49.48005647
Brunei Darussalam,BRN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.82881476,33.04899368,33.67757909,34.35010876,35.10052251,35.94553982,36.88046969,37.90035082,38.95059233,39.93514427,40.77370153,41.2016421,41.21660586,41.17005383,41.10901429,41.06270358,41.17532258,41.25741921,41.32241691,41.37967744,41.44001339,41.54682073,41.65985736,41.78921386,41.94261782,42.12335205,42.36394047,42.6364466,42.74135253,42.84792032,43.02941203
Bhutan,BTN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.70451204,40.72194048,40.75604038,40.80603695,40.87348864,40.95676534,41.31246807,41.73419884,42.1699313,42.57019091,42.90667178,43.03856049,43.07706219,43.06241922,43.04666455,43.06707288,43.19515172,43.38839263,43.61612557,43.83568387,43.39769634,43.05166224,45.4984601,41.35289795,40.03845905,41.07257657,41.05631118,40.96369018,40.81981052,40.7140508,40.57273031
Botswana,BWA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.53814681,42.68931819,42.81987613,42.95655811,43.12582466,43.34839279,43.4526688,43.62557008,43.81128121,44.31149623,44.95873608,45.17024478,45.37906443,45.5784358,45.75905592,45.91599507,46.03975022,46.21897945,46.40984894,46.64995062,46.51927595,46.80616139,47.4287339,48.20421168,48.49139342,48.67320941,48.75610088,48.79001406,48.81410516,48.69777255,48.64073782
Central African Republic,CAF,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.13946442,46.12729739,46.12089084,46.14187077,46.1834398,46.24428829,46.23007588,46.24538154,46.2713909,46.30389067,46.33155892,46.25331624,46.18942144,46.12482763,46.0876868,46.05386049,45.95535155,45.87368224,45.80931488,45.77911445,45.77523587,45.64800719,45.54982099,45.4279581,45.3845229,45.36972903,45.46203122,45.57673775,45.70966506,45.67326825,45.65383053
Canada,CAN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0767805,44.41487848,44.5911908,44.70756808,44.72761284,44.9271247,45.02152292,45.13187039,45.40282134,45.50918301,45.70014407,45.84886052,46.07602399,46.33315891,46.44506977,46.41752011,46.67405934,46.85362898,46.80369736,47.03182393,47.13622263,47.09004571,47.22269234,47.30841972,47.18776147,47.05243193,47.17683787,47.27433775,47.36631526,47.3736372,47.38091607
Central Europe and the Baltics,CEB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.89748256,45.86110137,45.88028305,45.84600882,45.82524696,45.67005863,45.51190359,45.5700276,45.6099989,45.76554963,45.92326436,46.01517044,45.76206799,45.68063769,45.53531993,45.38021938,45.33173902,45.14321101,45.02446778,45.09281277,45.17221152,45.20066768,45.23801941,45.16971257,45.13231534,45.04587691,44.98442196,45.0177996,45.00440027,44.99905239,44.99481831
Switzerland,CHE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1685822,42.92776174,43.28647129,43.19123973,43.0606917,43.01419618,43.594807,43.74952632,44.25609737,44.40732709,44.30892123,44.89575171,45.26275345,45.32868981,45.41806754,45.71894752,45.73174761,45.61918683,46.20774123,46.26546737,45.79327714,45.88585516,46.03533764,46.19885842,46.43669324,46.50020587,46.58734557,46.47671841,46.67939855,46.72881539,46.77936877
Channel Islands,CHI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.15742853,41.08802905,41.25319133,41.52730437,42.10367345,42.12028221,42.01006606,42.23034735,42.53446225,43.00752918,43.14085607,43.19997822,43.47802591,43.61507648,43.4166946,43.48415208,43.66461996,43.67813105,43.63454305,43.59735597,43.88613706,43.28048842,43.46383626,43.70053873,43.80267846,44.02984168,44.20635494,44.24923562,44.24579683,44.26579915,44.19574716
Chile,CHL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.26734103,31.62897873,32.15067502,32.51546754,32.81691703,33.27978141,33.67187173,34.37550732,34.5398773,34.69780558,34.9702753,34.61461432,34.68579341,35.64861916,36.6230541,37.1256369,37.38235355,37.9427333,38.98701392,39.4350324,39.80471804,40.57642639,40.79786474,41.06999902,41.38947474,41.31549385,41.58038501,41.87408048,42.22612969,42.24888268,42.27743651
China,CHN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1758991,45.16889837,45.15480932,45.13628982,45.11685418,45.09897637,45.093929,45.08668441,45.07976115,45.07908824,45.08778212,45.00593644,44.92541624,44.8392394,44.74173058,44.63360348,44.52545073,44.41594111,44.30519465,44.19417022,44.08097966,44.05667719,44.03884813,44.03262233,44.01596283,43.98582335,43.94351407,43.88635025,43.81515467,43.71068616,43.607165
Cote d'Ivoire,CIV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06520359,33.18100052,33.32770103,33.49951104,33.68978094,33.90907133,34.05035093,34.19739393,34.36524578,34.65976724,34.96357211,35.28581114,35.62368746,35.97427842,36.33345887,36.69819573,37.06999058,37.44533077,37.82558268,38.21057231,38.60293164,39.01155917,39.42394226,39.84257474,40.26768434,40.70024742,41.1491067,41.38204174,41.61800297,41.76955521,41.91228787
Cameroon,CMR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.10237802,48.05634574,48.02587446,48.00357585,48.01572179,48.04896182,48.07894326,48.12852262,48.19114108,48.25809397,48.32312909,48.34432302,48.36458878,48.38220416,48.40276404,48.41497647,48.391237,48.3780763,47.9259622,47.43140173,46.89574547,46.88858831,46.88872691,46.89925908,46.91985541,46.95171756,46.98108351,47.02055156,47.07048829,47.02619316,46.98112271
"Congo, Dem. Rep.",COD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.30461685,51.11903743,50.9365953,50.75645838,50.65732141,50.61794372,50.50883005,50.41007715,50.35690607,50.30554883,50.24253048,50.15165375,50.09660829,50.06054765,50.0349245,50.01241395,49.80481184,49.5865428,49.35834235,49.12150643,48.87693587,48.6239853,48.36481367,48.34670748,48.35310662,48.36830338,48.34687896,48.35951798,48.40466733,48.34947027,48.29582382
"Congo, Rep.",COG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.47299144,49.56347462,49.66459737,49.74724556,49.79153075,49.8715374,49.90783615,49.90244375,49.9063655,49.86534701,49.87397718,49.81074985,49.75618339,49.67804625,49.60624531,49.54626811,49.49974493,49.40113323,49.34025322,49.29968937,49.28685659,49.161315,49.06942199,49.00320481,48.98098429,48.95785194,48.94513385,48.95480801,49.01235474,49.01881439,49.03411631
Colombia,COL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1835395,39.3387625,39.55461735,39.81543232,40.09688822,40.37007938,40.53212706,40.75757499,40.90154411,40.8816273,41.07731626,41.226363,41.4526057,41.84756232,41.41202317,41.08975966,40.88402379,40.68220741,40.77869967,41.79721205,42.29552358,42.47328258,42.96164349,43.09860641,43.05617969,43.2545972,43.20933308,43.17107059,42.93880179,42.94904588,42.96795841
Comoros,COM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.96336077,36.83639305,36.91743777,36.98747923,37.01118752,37.185825,37.3174262,37.54208898,37.76751959,38.0379086,38.4357017,38.70324417,38.9979358,39.30573926,39.60741609,39.89710707,40.12142043,40.31282533,40.53288017,40.73227095,40.92809511,41.07419316,41.20925984,41.36125654,41.49000104,41.61623264,41.72862272,41.87937784,42.05846736,42.13638173,42.34279279
Cabo Verde,CPV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93168001,37.97998989,38.04540783,38.14064165,38.28192771,38.47307377,38.75723623,39.08138418,39.42952288,39.77246904,40.09488601,40.31976842,40.5334817,40.71769726,40.85807845,40.94878097,40.7795152,40.58680394,40.40895972,40.29772126,40.28629334,40.69714781,41.16648807,41.68043438,42.20529326,42.71755656,43.23162182,43.7461763,43.98767802,44.08500055,44.22515223
Costa Rica,CRI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.18197282,29.04937326,28.95171481,29.40282841,30.10628624,30.4864069,30.18880028,31.70238598,32.94745428,33.23563015,32.63239607,34.54538838,34.59878425,34.77308212,34.17693421,35.94433645,36.05942674,36.4891435,36.96933122,37.56955756,37.40989277,37.86944911,39.64716968,39.58266886,39.30522502,39.31855811,38.01978203,38.08654481,38.88561805,39.02957339,39.17448555
Caribbean small states,CSS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.86051188,41.2713861,41.68683281,42.07265235,42.17598983,41.96160414,41.93568214,41.55489937,41.17461869,41.05441544,40.91546111,41.02356361,41.1442141,41.43741607,41.81227406,42.20373253,42.37247986,42.3069348,42.54050008,42.48747624,42.68126434,42.844037,43.10390305,43.35745794,43.37715909,43.30342416,43.756589,43.90468913,43.85883565,43.93481897,44.00066744
Cuba,CUB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.62667406,36.32311994,36.08100219,35.89390226,35.74569281,35.59713954,35.26043775,35.18438941,35.3585932,35.299568,35.36821832,35.35047178,35.47690073,35.76804665,36.00465503,36.82115934,37.69058105,38.34270165,38.49964351,38.68412761,38.64563441,38.81176803,38.80494093,38.79209376,38.7360591,38.8531105,38.82830602,38.64814505,38.57213125,38.49137584,38.43567245
Curacao,CUW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.28544678,38.46868897,39.16349599,38.58444148,39.62301785,39.10290387,39.2753957,40.44786989,40.3969086,40.32127696,40.73079895,41.79426182,42.18032904,42.37918366,42.09199303,41.843049,42.51818604,43.32729231,43.91283217,44.67743292,45.34461621,45.33362478,45.05983806,45.17593204,45.95993344,46.42579373,46.18503263,46.19617957,46.0190215,46.13508997,46.26254009
Czech Republic,CZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.48800233,44.40621353,44.42214909,44.42008274,44.46409531,44.29615452,44.04080331,44.2320696,44.33492387,44.53631622,44.55136291,44.47325956,44.29106635,44.56405479,44.3620187,44.16057598,44.09530259,43.70642067,43.4202265,43.39319512,43.27870998,43.5182906,43.74176231,44.02845323,43.95231765,44.20840682,44.36485828,44.52610773,44.69921979,44.74390487,44.79200588
Germany,DEU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.59929075,42.01019684,42.26677752,42.28951166,42.61097466,42.78078616,42.9076168,43.13375306,43.29358815,43.5844933,43.72900093,44.02967227,44.31024592,44.54678992,44.59267758,44.68128916,45.03759832,45.1981632,45.25060486,45.45398978,45.57854115,45.84457513,45.87065269,46.08758563,46.17000748,46.27189953,46.36733193,46.40621793,46.31889932,46.322683,46.3242333
